Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
,Female,SBD,Wraps,29.0,24-34,F-OR,59.8,60,80.0,92.5,105.0,,105.0,45.0,50.0,55.0,,55.0,110.0,120.0,130.0,,130.0,290.0,4,324.16,324.16,286.42,511.15,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,29.0,24-34,F-OR,58.5,60,100.0,110.0,120.0,,120.0,55.0,62.5,67.5,,67.5,130.0,140.0,145.0,,145.0,332.5,2,378.07,378.07,334.16,595.65,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,B,Raw,40.0,40-44,F-OR,55.4,56,,,,,,27.5,32.5,0.0,,32.5,,,,,,32.5,1,38.56,38.56,34.12,313.97,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,23.0,20-23,F-OR,60.0,60,0.0,0.0,105.0,,105.0,67.5,72.5,0.0,,72.5,132.5,0.0,0.0,,132.5,310.0,3,345.61,345.61,305.37,547.04,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,45.0,45-49,F-OR,104.0,110,120.0,130.0,140.0,,140.0,70.0,75.0,80.0,,80.0,150.0,160.0,170.0,,170.0,390.0,3,321.25,338.91,274.56,550.08,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,37.0,35-39,F-OR,74.0,75,127.5,135.0,142.5,,142.5,72.5,77.5,82.5,,82.5,125.0,135.0,145.0,,145.0,370.0,5,354.74,354.74,312.2,596.18,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,23.0,20-23,F-OR,59.8,60,115.0,125.0,0.0,,125.0,65.0,70.0,0.0,,70.0,130.0,140.0,150.0,,150.0,345.0,1,385.63,385.63,340.74,612.23,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,35.0,35-39,F-OR,80.4,82.5,120.0,130.0,140.0,,140.0,67.5,72.5,77.5,,77.5,125.0,140.0,152.5,,152.5,370.0,5,337.62,337.62,296.0,575.85,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,36.0,35-39,F-OR,108.0,110,180.0,200.0,220.0,,220.0,90.0,100.0,,,100.0,200.0,,,,200.0,520.0,1,424.49,424.49,361.57,716.65,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,37.0,35-39,F-OR,74.8,75,180.0,190.0,200.0,,200.0,90.0,95.0,0.0,,95.0,160.0,170.0,180.0,,180.0,475.0,1,452.31,452.31,397.92,762.42,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,34.0,24-34,F-OR,82.0,82.5,175.0,185.0,0.0,,185.0,85.0,0.0,0.0,,85.0,180.0,192.5,0.0,,192.5,462.5,2,417.56,417.56,365.65,712.92,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Raw,27.0,24-34,F-OR,102.0,110,135.0,0.0,140.0,,140.0,77.5,82.5,0.0,,82.5,180.0,0.0,0.0,,180.0,402.5,2,333.24,333.24,285.55,571.03,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,27.0,24-34,F-OR,78.6,82.5,172.5,182.5,0.0,,182.5,92.5,100.0,105.0,,105.0,175.0,190.0,205.0,,205.0,492.5,1,455.17,455.17,399.56,773.08,,Australia,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,38.0,35-39,F-OR,74.7,75,0.0,170.0,0.0,,170.0,92.5,95.0,0.0,,95.0,200.0,207.5,0.0,,207.5,472.5,2,450.31,450.31,396.17,758.86,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Raw,19.0,18-19,F-OR,72.7,75,95.0,105.0,112.5,,112.5,55.0,0.0,60.0,,60.0,107.5,117.5,127.5,,127.5,300.0,7,290.95,302.58,256.21,486.3,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,30.0,24-34,F-OR,108.1,110,135.0,142.5,147.5,,147.5,65.0,70.0,0.0,,70.0,140.0,152.5,157.5,,157.5,375.0,4,306.06,306.06,260.68,522.68,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,50.0,50-54,F-OR,55.2,56,130.0,137.5,0.0,,137.5,65.0,70.0,0.0,,70.0,160.0,172.5,182.5,,182.5,390.0,1,464.08,524.41,410.63,724.77,,Australia,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,49.0,45-49,F-OR,77.2,82.5,110.0,115.0,120.0,,120.0,60.0,0.0,65.0,,65.0,170.0,0.0,0.0,,170.0,355.0,6,331.57,369.03,291.31,561.85,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,33.0,24-34,F-OR,71.9,75,135.0,145.0,150.0,,150.0,85.0,0.0,90.0,,90.0,130.0,137.5,145.0,,145.0,385.0,4,376.12,376.12,331.32,628.36,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Raw,31.0,24-34,F-OR,77.7,82.5,130.0,137.5,145.0,,145.0,75.0,80.0,0.0,,80.0,145.0,155.0,0.0,,155.0,380.0,4,353.56,353.56,310.54,599.76,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,48.0,45-49,F-OR,55.8,56,115.0,120.0,122.5,,122.5,77.5,82.5,0.0,,82.5,140.0,150.0,157.5,,157.5,362.5,2,427.72,469.21,378.36,667.69,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Raw,29.0,24-34,F-OR,72.1,75,90.0,100.0,105.0,,105.0,55.0,60.0,0.0,,60.0,125.0,132.5,137.5,,137.5,302.5,6,294.98,294.98,259.82,492.05,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,28.0,24-34,F-OR,51.2,52,100.0,0.0,110.0,,110.0,45.0,47.5,0.0,,47.5,115.0,125.0,0.0,,125.0,282.5,2,356.4,356.4,316.12,536.69,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,30.0,24-34,F-OR,55.0,56,100.0,115.0,125.0,,125.0,60.0,65.0,0.0,,65.0,130.0,142.5,155.0,,155.0,345.0,3,411.7,411.7,364.31,638.85,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,34.0,24-34,F-OR,74.0,75,155.0,165.0,0.0,,165.0,95.0,100.0,0.0,,100.0,155.0,167.5,175.0,,175.0,440.0,3,421.85,421.85,371.26,709.51,,Australia,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,30.0,24-34,F-OR,67.2,67.5,140.0,150.0,160.0,,160.0,72.5,0.0,0.0,,72.5,157.5,0.0,,,157.5,390.0,1,399.32,399.32,352.28,656.52,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,37.0,35-39,F-OR,60.0,60,75.0,0.0,0.0,,75.0,50.0,55.0,0.0,,55.0,110.0,0.0,117.5,,117.5,247.5,6,275.93,275.93,243.8,432.42,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,45.0,45-49,F-OR,64.8,67.5,100.0,110.0,0.0,,110.0,52.5,55.0,57.5,,57.5,115.0,125.0,130.0,,130.0,297.5,3,312.82,330.03,276.13,506.15,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,26.0,24-34,F-OR,89.3,90,105.0,115.0,120.0,,120.0,50.0,55.0,57.5,,57.5,130.0,140.0,0.0,,140.0,317.5,2,275.24,275.24,239.42,475.66,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,27.0,24-34,F-OR,146.4,110+,117.5,125.0,137.5,,137.5,65.0,70.0,72.5,,72.5,135.0,0.0,142.5,,142.5,352.5,4,272.07,272.07,228.71,449.04,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Wraps,35.0,35-39,F-OR,114.1,110+,125.0,135.0,145.0,,145.0,70.0,77.5,0.0,,77.5,145.0,155.0,0.0,,155.0,377.5,3,304.68,304.68,258.9,516.58,,,GPC-AUS,10/27/2018,Australia,VIC,
,Female,SBD,Raw,28.0,24-34,F-OR,57.7,60,82.5,90.0,0.0,,90.0,55.0,0.0,0.0,,55.0,92.5,102.5,0.0,,102.5,247.5,5,284.47,284.47,251.48,439.9,,,GPC-AUS,10/27/2018,Australia,VIC,
